chapter,verse,arabic_original,arabic_clean,arabic_normalized,tokens
8,63,وَأَلَّفَ بَيۡنَ قُلُوبِهِمۡۚ لَوۡ أَنفَقۡتَ مَا فِي ٱلۡأَرۡضِ جَمِيعٗا مَّآ أَلَّفۡتَ بَيۡنَ قُلُوبِهِمۡ وَلَٰكِنَّ ٱللَّهَ أَلَّفَ بَيۡنَهُمۡۚ إِنَّهُۥ عَزِيزٌ حَكِيمٞ,والف بين قلوبهم لو انفقت ما في الارض جميعا ما الفت بين قلوبهم ولكن الله الف بينهم انه عزيز حكيم,والف بين قلوبهم لو انفقت ما في الارض جميعا ما الفت بين قلوبهم ولكن الله الف بينهم انه عزيز حكيم,والف بين قلوبهم لو انفقت ما في الارض جميعا ما الفت بين قلوبهم ولكن الله الف بينهم انه عزيز حكيم
8,64,يَـٰٓأَيُّهَا ٱلنَّبِيُّ حَسۡبُكَ ٱللَّهُ وَمَنِ ٱتَّبَعَكَ مِنَ ٱلۡمُؤۡمِنِينَ,يايها النبي حسبك الله ومن اتبعك من المومنين,يايها النبي حسبك الله ومن اتبعك من المومنين,يايها النبي حسبك الله ومن اتبعك من المومنين
8,65,يَـٰٓأَيُّهَا ٱلنَّبِيُّ حَرِّضِ ٱلۡمُؤۡمِنِينَ عَلَى ٱلۡقِتَالِۚ إِن يَكُن مِّنكُمۡ عِشۡرُونَ صَٰبِرُونَ يَغۡلِبُواْ مِاْئَتَيۡنِۚ وَإِن يَكُن مِّنكُم مِّاْئَةٞ يَغۡلِبُوٓاْ أَلۡفٗا مِّنَ ٱلَّذِينَ كَفَرُواْ بِأَنَّهُمۡ قَوۡمٞ لَّا يَفۡقَهُونَ,يايها النبي حرض المومنين علي القتال ان يكن منكم عشرون صبرون يغلبوا مايتين وان يكن منكم ماية يغلبوا الفا من الذين كفروا بانهم قوم لا يفقهون,يايها النبي حرض المومنين علي القتال ان يكن منكم عشرون صبرون يغلبوا مايتين وان يكن منكم ماية يغلبوا الفا من الذين كفروا بانهم قوم لا يفقهون,يايها النبي حرض المومنين علي القتال ان يكن منكم عشرون صبرون يغلبوا مايتين وان يكن منكم ماية يغلبوا الفا من الذين كفروا بانهم قوم لا يفقهون
8,66,ٱلۡـَٰٔنَ خَفَّفَ ٱللَّهُ عَنكُمۡ وَعَلِمَ أَنَّ فِيكُمۡ ضَعۡفٗاۚ فَإِن يَكُن مِّنكُم مِّاْئَةٞ صَابِرَةٞ يَغۡلِبُواْ مِاْئَتَيۡنِۚ وَإِن يَكُن مِّنكُمۡ أَلۡفٞ يَغۡلِبُوٓاْ أَلۡفَيۡنِ بِإِذۡنِ ٱللَّهِۗ وَٱللَّهُ مَعَ ٱلصَّـٰبِرِينَ,الن خفف الله عنكم وعلم ان فيكم ضعفا فان يكن منكم ماية صابرة يغلبوا مايتين وان يكن منكم الف يغلبوا الفين باذن الله والله مع الصبرين,الن خفف الله عنكم وعلم ان فيكم ضعفا فان يكن منكم ماية صابرة يغلبوا مايتين وان يكن منكم الف يغلبوا الفين باذن الله والله مع الصبرين,الن خفف الله عنكم وعلم ان فيكم ضعفا فان يكن منكم ماية صابرة يغلبوا مايتين وان يكن منكم الف يغلبوا الفين باذن الله والله مع الصبرين
8,67,مَا كَانَ لِنَبِيٍّ أَن يَكُونَ لَهُۥٓ أَسۡرَىٰ حَتَّىٰ يُثۡخِنَ فِي ٱلۡأَرۡضِۚ تُرِيدُونَ عَرَضَ ٱلدُّنۡيَا وَٱللَّهُ يُرِيدُ ٱلۡأٓخِرَةَۗ وَٱللَّهُ عَزِيزٌ حَكِيمٞ,ما كان لنبي ان يكون له اسري حتي يثخن في الارض تريدون عرض الدنيا والله يريد الاخرة والله عزيز حكيم,ما كان لنبي ان يكون له اسري حتي يثخن في الارض تريدون عرض الدنيا والله يريد الاخرة والله عزيز حكيم,ما كان لنبي ان يكون له اسري حتي يثخن في الارض تريدون عرض الدنيا والله يريد الاخرة والله عزيز حكيم
8,68,لَّوۡلَا كِتَٰبٞ مِّنَ ٱللَّهِ سَبَقَ لَمَسَّكُمۡ فِيمَآ أَخَذۡتُمۡ عَذَابٌ عَظِيمٞ,لولا كتب من الله سبق لمسكم فيما اخذتم عذاب عظيم,لولا كتب من الله سبق لمسكم فيما اخذتم عذاب عظيم,لولا كتب من الله سبق لمسكم فيما اخذتم عذاب عظيم
8,69,فَكُلُواْ مِمَّا غَنِمۡتُمۡ حَلَٰلٗا طَيِّبٗاۚ وَٱتَّقُواْ ٱللَّهَۚ إِنَّ ٱللَّهَ غَفُورٞ رَّحِيمٞ,فكلوا مما غنمتم حللا طيبا واتقوا الله ان الله غفور رحيم,فكلوا مما غنمتم حللا طيبا واتقوا الله ان الله غفور رحيم,فكلوا مما غنمتم حللا طيبا واتقوا الله ان الله غفور رحيم
8,70,يَـٰٓأَيُّهَا ٱلنَّبِيُّ قُل لِّمَن فِيٓ أَيۡدِيكُم مِّنَ ٱلۡأَسۡرَىٰٓ إِن يَعۡلَمِ ٱللَّهُ فِي قُلُوبِكُمۡ خَيۡرٗا يُؤۡتِكُمۡ خَيۡرٗا مِّمَّآ أُخِذَ مِنكُمۡ وَيَغۡفِرۡ لَكُمۡۚ وَٱللَّهُ غَفُورٞ رَّحِيمٞ,يايها النبي قل لمن في ايديكم من الاسري ان يعلم الله في قلوبكم خيرا يوتكم خيرا مما اخذ منكم ويغفر لكم والله غفور رحيم,يايها النبي قل لمن في ايديكم من الاسري ان يعلم الله في قلوبكم خيرا يوتكم خيرا مما اخذ منكم ويغفر لكم والله غفور رحيم,يايها النبي قل لمن في ايديكم من الاسري ان يعلم الله في قلوبكم خيرا يوتكم خيرا مما اخذ منكم ويغفر لكم والله غفور رحيم
8,71,وَإِن يُرِيدُواْ خِيَانَتَكَ فَقَدۡ خَانُواْ ٱللَّهَ مِن قَبۡلُ فَأَمۡكَنَ مِنۡهُمۡۗ وَٱللَّهُ عَلِيمٌ حَكِيمٌ,وان يريدوا خيانتك فقد خانوا الله من قبل فامكن منهم والله عليم حكيم,وان يريدوا خيانتك فقد خانوا الله من قبل فامكن منهم والله عليم حكيم,وان يريدوا خيانتك فقد خانوا الله من قبل فامكن منهم والله عليم حكيم
8,72,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَهَاجَرُواْ وَجَٰهَدُواْ بِأَمۡوَٰلِهِمۡ وَأَنفُسِهِمۡ فِي سَبِيلِ ٱللَّهِ وَٱلَّذِينَ ءَاوَواْ وَّنَصَرُوٓاْ أُوْلَـٰٓئِكَ بَعۡضُهُمۡ أَوۡلِيَآءُ بَعۡضٖۚ وَٱلَّذِينَ ءَامَنُواْ وَلَمۡ يُهَاجِرُواْ مَا لَكُم مِّن وَلَٰيَتِهِم مِّن شَيۡءٍ حَتَّىٰ يُهَاجِرُواْۚ وَإِنِ ٱسۡتَنصَرُوكُمۡ فِي ٱلدِّينِ فَعَلَيۡكُمُ ٱلنَّصۡرُ إِلَّا عَلَىٰ قَوۡمِۭ بَيۡنَكُمۡ وَبَيۡنَهُم مِّيثَٰقٞۗ وَٱللَّهُ بِمَا تَعۡمَلُونَ بَصِيرٞ,ان الذين ءامنوا وهاجروا وجهدوا بامولهم وانفسهم في سبيل الله والذين ءاووا ونصروا اوليك بعضهم اولياء بعض والذين ءامنوا ولم يهاجروا ما لكم من وليتهم من شيء حتي يهاجروا وان استنصروكم في الدين فعليكم النصر الا علي قوم بينكم وبينهم ميثق والله بما تعملون بصير,ان الذين ءامنوا وهاجروا وجهدوا بامولهم وانفسهم في سبيل الله والذين ءاووا ونصروا اوليك بعضهم اولياء بعض والذين ءامنوا ولم يهاجروا ما لكم من وليتهم من شيء حتي يهاجروا وان استنصروكم في الدين فعليكم النصر الا علي قوم بينكم وبينهم ميثق والله بما تعملون بصير,ان الذين ءامنوا وهاجروا وجهدوا بامولهم وانفسهم في سبيل الله والذين ءاووا ونصروا اوليك بعضهم اولياء بعض والذين ءامنوا ولم يهاجروا ما لكم من وليتهم من شيء حتي يهاجروا وان استنصروكم في الدين فعليكم النصر الا علي قوم بينكم وبينهم ميثق والله بما تعملون بصير
8,73,وَٱلَّذِينَ كَفَرُواْ بَعۡضُهُمۡ أَوۡلِيَآءُ بَعۡضٍۚ إِلَّا تَفۡعَلُوهُ تَكُن فِتۡنَةٞ فِي ٱلۡأَرۡضِ وَفَسَادٞ كَبِيرٞ,والذين كفروا بعضهم اولياء بعض الا تفعلوه تكن فتنة في الارض وفساد كبير,والذين كفروا بعضهم اولياء بعض الا تفعلوه تكن فتنة في الارض وفساد كبير,والذين كفروا بعضهم اولياء بعض الا تفعلوه تكن فتنة في الارض وفساد كبير
8,74,وَٱلَّذِينَ ءَامَنُواْ وَهَاجَرُواْ وَجَٰهَدُواْ فِي سَبِيلِ ٱللَّهِ وَٱلَّذِينَ ءَاوَواْ وَّنَصَرُوٓاْ أُوْلَـٰٓئِكَ هُمُ ٱلۡمُؤۡمِنُونَ حَقّٗاۚ لَّهُم مَّغۡفِرَةٞ وَرِزۡقٞ كَرِيمٞ,والذين ءامنوا وهاجروا وجهدوا في سبيل الله والذين ءاووا ونصروا اوليك هم المومنون حقا لهم مغفرة ورزق كريم,والذين ءامنوا وهاجروا وجهدوا في سبيل الله والذين ءاووا ونصروا اوليك هم المومنون حقا لهم مغفرة ورزق كريم,والذين ءامنوا وهاجروا وجهدوا في سبيل الله والذين ءاووا ونصروا اوليك هم المومنون حقا لهم مغفرة ورزق كريم
8,75,وَٱلَّذِينَ ءَامَنُواْ مِنۢ بَعۡدُ وَهَاجَرُواْ وَجَٰهَدُواْ مَعَكُمۡ فَأُوْلَـٰٓئِكَ مِنكُمۡۚ وَأُوْلُواْ ٱلۡأَرۡحَامِ بَعۡضُهُمۡ أَوۡلَىٰ بِبَعۡضٖ فِي كِتَٰبِ ٱللَّهِۚ إِنَّ ٱللَّهَ بِكُلِّ شَيۡءٍ عَلِيمُۢ,والذين ءامنوا من بعد وهاجروا وجهدوا معكم فاوليك منكم واولوا الارحام بعضهم اولي ببعض في كتب الله ان الله بكل شيء عليم,والذين ءامنوا من بعد وهاجروا وجهدوا معكم فاوليك منكم واولوا الارحام بعضهم اولي ببعض في كتب الله ان الله بكل شيء عليم,والذين ءامنوا من بعد وهاجروا وجهدوا معكم فاوليك منكم واولوا الارحام بعضهم اولي ببعض في كتب الله ان الله بكل شيء عليم
9,1,بَرَآءَةٞ مِّنَ ٱللَّهِ وَرَسُولِهِۦٓ إِلَى ٱلَّذِينَ عَٰهَدتُّم مِّنَ ٱلۡمُشۡرِكِينَ,براءة من الله ورسوله الي الذين عهدتم من المشركين,براءة من الله ورسوله الي الذين عهدتم من المشركين,براءة من الله ورسوله الي الذين عهدتم من المشركين
9,2,فَسِيحُواْ فِي ٱلۡأَرۡضِ أَرۡبَعَةَ أَشۡهُرٖ وَٱعۡلَمُوٓاْ أَنَّكُمۡ غَيۡرُ مُعۡجِزِي ٱللَّهِ وَأَنَّ ٱللَّهَ مُخۡزِي ٱلۡكَٰفِرِينَ,فسيحوا في الارض اربعة اشهر واعلموا انكم غير معجزي الله وان الله مخزي الكفرين,فسيحوا في الارض اربعة اشهر واعلموا انكم غير معجزي الله وان الله مخزي الكفرين,فسيحوا في الارض اربعة اشهر واعلموا انكم غير معجزي الله وان الله مخزي الكفرين
9,3,وَأَذَٰنٞ مِّنَ ٱللَّهِ وَرَسُولِهِۦٓ إِلَى ٱلنَّاسِ يَوۡمَ ٱلۡحَجِّ ٱلۡأَكۡبَرِ أَنَّ ٱللَّهَ بَرِيٓءٞ مِّنَ ٱلۡمُشۡرِكِينَ وَرَسُولُهُۥۚ فَإِن تُبۡتُمۡ فَهُوَ خَيۡرٞ لَّكُمۡۖ وَإِن تَوَلَّيۡتُمۡ فَٱعۡلَمُوٓاْ أَنَّكُمۡ غَيۡرُ مُعۡجِزِي ٱللَّهِۗ وَبَشِّرِ ٱلَّذِينَ كَفَرُواْ بِعَذَابٍ أَلِيمٍ,واذن من الله ورسوله الي الناس يوم الحج الاكبر ان الله بريء من المشركين ورسوله فان تبتم فهو خير لكم وان توليتم فاعلموا انكم غير معجزي الله وبشر الذين كفروا بعذاب اليم,واذن من الله ورسوله الي الناس يوم الحج الاكبر ان الله بريء من المشركين ورسوله فان تبتم فهو خير لكم وان توليتم فاعلموا انكم غير معجزي الله وبشر الذين كفروا بعذاب اليم,واذن من الله ورسوله الي الناس يوم الحج الاكبر ان الله بريء من المشركين ورسوله فان تبتم فهو خير لكم وان توليتم فاعلموا انكم غير معجزي الله وبشر الذين كفروا بعذاب اليم
9,4,إِلَّا ٱلَّذِينَ عَٰهَدتُّم مِّنَ ٱلۡمُشۡرِكِينَ ثُمَّ لَمۡ يَنقُصُوكُمۡ شَيۡـٔٗا وَلَمۡ يُظَٰهِرُواْ عَلَيۡكُمۡ أَحَدٗا فَأَتِمُّوٓاْ إِلَيۡهِمۡ عَهۡدَهُمۡ إِلَىٰ مُدَّتِهِمۡۚ إِنَّ ٱللَّهَ يُحِبُّ ٱلۡمُتَّقِينَ,الا الذين عهدتم من المشركين ثم لم ينقصوكم شيا ولم يظهروا عليكم احدا فاتموا اليهم عهدهم الي مدتهم ان الله يحب المتقين,الا الذين عهدتم من المشركين ثم لم ينقصوكم شيا ولم يظهروا عليكم احدا فاتموا اليهم عهدهم الي مدتهم ان الله يحب المتقين,الا الذين عهدتم من المشركين ثم لم ينقصوكم شيا ولم يظهروا عليكم احدا فاتموا اليهم عهدهم الي مدتهم ان الله يحب المتقين
9,5,فَإِذَا ٱنسَلَخَ ٱلۡأَشۡهُرُ ٱلۡحُرُمُ فَٱقۡتُلُواْ ٱلۡمُشۡرِكِينَ حَيۡثُ وَجَدتُّمُوهُمۡ وَخُذُوهُمۡ وَٱحۡصُرُوهُمۡ وَٱقۡعُدُواْ لَهُمۡ كُلَّ مَرۡصَدٖۚ فَإِن تَابُواْ وَأَقَامُواْ ٱلصَّلَوٰةَ وَءَاتَوُاْ ٱلزَّكَوٰةَ فَخَلُّواْ سَبِيلَهُمۡۚ إِنَّ ٱللَّهَ غَفُورٞ رَّحِيمٞ,فاذا انسلخ الاشهر الحرم فاقتلوا المشركين حيث وجدتموهم وخذوهم واحصروهم واقعدوا لهم كل مرصد فان تابوا واقاموا الصلوة وءاتوا الزكوة فخلوا سبيلهم ان الله غفور رحيم,فاذا انسلخ الاشهر الحرم فاقتلوا المشركين حيث وجدتموهم وخذوهم واحصروهم واقعدوا لهم كل مرصد فان تابوا واقاموا الصلوة وءاتوا الزكوة فخلوا سبيلهم ان الله غفور رحيم,فاذا انسلخ الاشهر الحرم فاقتلوا المشركين حيث وجدتموهم وخذوهم واحصروهم واقعدوا لهم كل مرصد فان تابوا واقاموا الصلوة وءاتوا الزكوة فخلوا سبيلهم ان الله غفور رحيم
9,6,وَإِنۡ أَحَدٞ مِّنَ ٱلۡمُشۡرِكِينَ ٱسۡتَجَارَكَ فَأَجِرۡهُ حَتَّىٰ يَسۡمَعَ كَلَٰمَ ٱللَّهِ ثُمَّ أَبۡلِغۡهُ مَأۡمَنَهُۥۚ ذَٰلِكَ بِأَنَّهُمۡ قَوۡمٞ لَّا يَعۡلَمُونَ,وان احد من المشركين استجارك فاجره حتي يسمع كلم الله ثم ابلغه مامنه ذلك بانهم قوم لا يعلمون,وان احد من المشركين استجارك فاجره حتي يسمع كلم الله ثم ابلغه مامنه ذلك بانهم قوم لا يعلمون,وان احد من المشركين استجارك فاجره حتي يسمع كلم الله ثم ابلغه مامنه ذلك بانهم قوم لا يعلمون
9,7,كَيۡفَ يَكُونُ لِلۡمُشۡرِكِينَ عَهۡدٌ عِندَ ٱللَّهِ وَعِندَ رَسُولِهِۦٓ إِلَّا ٱلَّذِينَ عَٰهَدتُّمۡ عِندَ ٱلۡمَسۡجِدِ ٱلۡحَرَامِۖ فَمَا ٱسۡتَقَٰمُواْ لَكُمۡ فَٱسۡتَقِيمُواْ لَهُمۡۚ إِنَّ ٱللَّهَ يُحِبُّ ٱلۡمُتَّقِينَ,كيف يكون للمشركين عهد عند الله وعند رسوله الا الذين عهدتم عند المسجد الحرام فما استقموا لكم فاستقيموا لهم ان الله يحب المتقين,كيف يكون للمشركين عهد عند الله وعند رسوله الا الذين عهدتم عند المسجد الحرام فما استقموا لكم فاستقيموا لهم ان الله يحب المتقين,كيف يكون للمشركين عهد عند الله وعند رسوله الا الذين عهدتم عند المسجد الحرام فما استقموا لكم فاستقيموا لهم ان الله يحب المتقين
9,8,كَيۡفَ وَإِن يَظۡهَرُواْ عَلَيۡكُمۡ لَا يَرۡقُبُواْ فِيكُمۡ إِلّٗا وَلَا ذِمَّةٗۚ يُرۡضُونَكُم بِأَفۡوَٰهِهِمۡ وَتَأۡبَىٰ قُلُوبُهُمۡ وَأَكۡثَرُهُمۡ فَٰسِقُونَ,كيف وان يظهروا عليكم لا يرقبوا فيكم الا ولا ذمة يرضونكم بافوههم وتابي قلوبهم واكثرهم فسقون,كيف وان يظهروا عليكم لا يرقبوا فيكم الا ولا ذمة يرضونكم بافوههم وتابي قلوبهم واكثرهم فسقون,كيف وان يظهروا عليكم لا يرقبوا فيكم الا ولا ذمة يرضونكم بافوههم وتابي قلوبهم واكثرهم فسقون
9,9,ٱشۡتَرَوۡاْ بِـَٔايَٰتِ ٱللَّهِ ثَمَنٗا قَلِيلٗا فَصَدُّواْ عَن سَبِيلِهِۦٓۚ إِنَّهُمۡ سَآءَ مَا كَانُواْ يَعۡمَلُونَ,اشتروا بايت الله ثمنا قليلا فصدوا عن سبيله انهم ساء ما كانوا يعملون,اشتروا بايت الله ثمنا قليلا فصدوا عن سبيله انهم ساء ما كانوا يعملون,اشتروا بايت الله ثمنا قليلا فصدوا عن سبيله انهم ساء ما كانوا يعملون
9,10,لَا يَرۡقُبُونَ فِي مُؤۡمِنٍ إِلّٗا وَلَا ذِمَّةٗۚ وَأُوْلَـٰٓئِكَ هُمُ ٱلۡمُعۡتَدُونَ,لا يرقبون في مومن الا ولا ذمة واوليك هم المعتدون,لا يرقبون في مومن الا ولا ذمة واوليك هم المعتدون,لا يرقبون في مومن الا ولا ذمة واوليك هم المعتدون
9,11,فَإِن تَابُواْ وَأَقَامُواْ ٱلصَّلَوٰةَ وَءَاتَوُاْ ٱلزَّكَوٰةَ فَإِخۡوَٰنُكُمۡ فِي ٱلدِّينِۗ وَنُفَصِّلُ ٱلۡأٓيَٰتِ لِقَوۡمٖ يَعۡلَمُونَ,فان تابوا واقاموا الصلوة وءاتوا الزكوة فاخونكم في الدين ونفصل الايت لقوم يعلمون,فان تابوا واقاموا الصلوة وءاتوا الزكوة فاخونكم في الدين ونفصل الايت لقوم يعلمون,فان تابوا واقاموا الصلوة وءاتوا الزكوة فاخونكم في الدين ونفصل الايت لقوم يعلمون
9,12,وَإِن نَّكَثُوٓاْ أَيۡمَٰنَهُم مِّنۢ بَعۡدِ عَهۡدِهِمۡ وَطَعَنُواْ فِي دِينِكُمۡ فَقَٰتِلُوٓاْ أَئِمَّةَ ٱلۡكُفۡرِ إِنَّهُمۡ لَآ أَيۡمَٰنَ لَهُمۡ لَعَلَّهُمۡ يَنتَهُونَ,وان نكثوا ايمنهم من بعد عهدهم وطعنوا في دينكم فقتلوا ايمة الكفر انهم لا ايمن لهم لعلهم ينتهون,وان نكثوا ايمنهم من بعد عهدهم وطعنوا في دينكم فقتلوا ايمة الكفر انهم لا ايمن لهم لعلهم ينتهون,وان نكثوا ايمنهم من بعد عهدهم وطعنوا في دينكم فقتلوا ايمة الكفر انهم لا ايمن لهم لعلهم ينتهون
9,13,أَلَا تُقَٰتِلُونَ قَوۡمٗا نَّكَثُوٓاْ أَيۡمَٰنَهُمۡ وَهَمُّواْ بِإِخۡرَاجِ ٱلرَّسُولِ وَهُم بَدَءُوكُمۡ أَوَّلَ مَرَّةٍۚ أَتَخۡشَوۡنَهُمۡۚ فَٱللَّهُ أَحَقُّ أَن تَخۡشَوۡهُ إِن كُنتُم مُّؤۡمِنِينَ,الا تقتلون قوما نكثوا ايمنهم وهموا باخراج الرسول وهم بدءوكم اول مرة اتخشونهم فالله احق ان تخشوه ان كنتم مومنين,الا تقتلون قوما نكثوا ايمنهم وهموا باخراج الرسول وهم بدءوكم اول مرة اتخشونهم فالله احق ان تخشوه ان كنتم مومنين,الا تقتلون قوما نكثوا ايمنهم وهموا باخراج الرسول وهم بدءوكم اول مرة اتخشونهم فالله احق ان تخشوه ان كنتم مومنين
9,14,قَٰتِلُوهُمۡ يُعَذِّبۡهُمُ ٱللَّهُ بِأَيۡدِيكُمۡ وَيُخۡزِهِمۡ وَيَنصُرۡكُمۡ عَلَيۡهِمۡ وَيَشۡفِ صُدُورَ قَوۡمٖ مُّؤۡمِنِينَ,قتلوهم يعذبهم الله بايديكم ويخزهم وينصركم عليهم ويشف صدور قوم مومنين,قتلوهم يعذبهم الله بايديكم ويخزهم وينصركم عليهم ويشف صدور قوم مومنين,قتلوهم يعذبهم الله بايديكم ويخزهم وينصركم عليهم ويشف صدور قوم مومنين
9,15,وَيُذۡهِبۡ غَيۡظَ قُلُوبِهِمۡۗ وَيَتُوبُ ٱللَّهُ عَلَىٰ مَن يَشَآءُۗ وَٱللَّهُ عَلِيمٌ حَكِيمٌ,ويذهب غيظ قلوبهم ويتوب الله علي من يشاء والله عليم حكيم,ويذهب غيظ قلوبهم ويتوب الله علي من يشاء والله عليم حكيم,ويذهب غيظ قلوبهم ويتوب الله علي من يشاء والله عليم حكيم
9,16,أَمۡ حَسِبۡتُمۡ أَن تُتۡرَكُواْ وَلَمَّا يَعۡلَمِ ٱللَّهُ ٱلَّذِينَ جَٰهَدُواْ مِنكُمۡ وَلَمۡ يَتَّخِذُواْ مِن دُونِ ٱللَّهِ وَلَا رَسُولِهِۦ وَلَا ٱلۡمُؤۡمِنِينَ وَلِيجَةٗۚ وَٱللَّهُ خَبِيرُۢ بِمَا تَعۡمَلُونَ,ام حسبتم ان تتركوا ولما يعلم الله الذين جهدوا منكم ولم يتخذوا من دون الله ولا رسوله ولا المومنين وليجة والله خبير بما تعملون,ام حسبتم ان تتركوا ولما يعلم الله الذين جهدوا منكم ولم يتخذوا من دون الله ولا رسوله ولا المومنين وليجة والله خبير بما تعملون,ام حسبتم ان تتركوا ولما يعلم الله الذين جهدوا منكم ولم يتخذوا من دون الله ولا رسوله ولا المومنين وليجة والله خبير بما تعملون
9,17,مَا كَانَ لِلۡمُشۡرِكِينَ أَن يَعۡمُرُواْ مَسَٰجِدَ ٱللَّهِ شَٰهِدِينَ عَلَىٰٓ أَنفُسِهِم بِٱلۡكُفۡرِۚ أُوْلَـٰٓئِكَ حَبِطَتۡ أَعۡمَٰلُهُمۡ وَفِي ٱلنَّارِ هُمۡ خَٰلِدُونَ,ما كان للمشركين ان يعمروا مسجد الله شهدين علي انفسهم بالكفر اوليك حبطت اعملهم وفي النار هم خلدون,ما كان للمشركين ان يعمروا مسجد الله شهدين علي انفسهم بالكفر اوليك حبطت اعملهم وفي النار هم خلدون,ما كان للمشركين ان يعمروا مسجد الله شهدين علي انفسهم بالكفر اوليك حبطت اعملهم وفي النار هم خلدون
9,18,إِنَّمَا يَعۡمُرُ مَسَٰجِدَ ٱللَّهِ مَنۡ ءَامَنَ بِٱللَّهِ وَٱلۡيَوۡمِ ٱلۡأٓخِرِ وَأَقَامَ ٱلصَّلَوٰةَ وَءَاتَى ٱلزَّكَوٰةَ وَلَمۡ يَخۡشَ إِلَّا ٱللَّهَۖ فَعَسَىٰٓ أُوْلَـٰٓئِكَ أَن يَكُونُواْ مِنَ ٱلۡمُهۡتَدِينَ,انما يعمر مسجد الله من ءامن بالله واليوم الاخر واقام الصلوة وءاتي الزكوة ولم يخش الا الله فعسي اوليك ان يكونوا من المهتدين,انما يعمر مسجد الله من ءامن بالله واليوم الاخر واقام الصلوة وءاتي الزكوة ولم يخش الا الله فعسي اوليك ان يكونوا من المهتدين,انما يعمر مسجد الله من ءامن بالله واليوم الاخر واقام الصلوة وءاتي الزكوة ولم يخش الا الله فعسي اوليك ان يكونوا من المهتدين
9,19,۞أَجَعَلۡتُمۡ سِقَايَةَ ٱلۡحَآجِّ وَعِمَارَةَ ٱلۡمَسۡجِدِ ٱلۡحَرَامِ كَمَنۡ ءَامَنَ بِٱللَّهِ وَٱلۡيَوۡمِ ٱلۡأٓخِرِ وَجَٰهَدَ فِي سَبِيلِ ٱللَّهِۚ لَا يَسۡتَوُۥنَ عِندَ ٱللَّهِۗ وَٱللَّهُ لَا يَهۡدِي ٱلۡقَوۡمَ ٱلظَّـٰلِمِينَ,اجعلتم سقاية الحاج وعمارة المسجد الحرام كمن ءامن بالله واليوم الاخر وجهد في سبيل الله لا يستون عند الله والله لا يهدي القوم الظلمين,اجعلتم سقاية الحاج وعمارة المسجد الحرام كمن ءامن بالله واليوم الاخر وجهد في سبيل الله لا يستون عند الله والله لا يهدي القوم الظلمين,اجعلتم سقاية الحاج وعمارة المسجد الحرام كمن ءامن بالله واليوم الاخر وجهد في سبيل الله لا يستون عند الله والله لا يهدي القوم الظلمين
9,20,ٱلَّذِينَ ءَامَنُواْ وَهَاجَرُواْ وَجَٰهَدُواْ فِي سَبِيلِ ٱللَّهِ بِأَمۡوَٰلِهِمۡ وَأَنفُسِهِمۡ أَعۡظَمُ دَرَجَةً عِندَ ٱللَّهِۚ وَأُوْلَـٰٓئِكَ هُمُ ٱلۡفَآئِزُونَ,الذين ءامنوا وهاجروا وجهدوا في سبيل الله بامولهم وانفسهم اعظم درجة عند الله واوليك هم الفايزون,الذين ءامنوا وهاجروا وجهدوا في سبيل الله بامولهم وانفسهم اعظم درجة عند الله واوليك هم الفايزون,الذين ءامنوا وهاجروا وجهدوا في سبيل الله بامولهم وانفسهم اعظم درجة عند الله واوليك هم الفايزون
9,21,يُبَشِّرُهُمۡ رَبُّهُم بِرَحۡمَةٖ مِّنۡهُ وَرِضۡوَٰنٖ وَجَنَّـٰتٖ لَّهُمۡ فِيهَا نَعِيمٞ مُّقِيمٌ,يبشرهم ربهم برحمة منه ورضون وجنت لهم فيها نعيم مقيم,يبشرهم ربهم برحمة منه ورضون وجنت لهم فيها نعيم مقيم,يبشرهم ربهم برحمة منه ورضون وجنت لهم فيها نعيم مقيم
9,22,خَٰلِدِينَ فِيهَآ أَبَدًاۚ إِنَّ ٱللَّهَ عِندَهُۥٓ أَجۡرٌ عَظِيمٞ,خلدين فيها ابدا ان الله عنده اجر عظيم,خلدين فيها ابدا ان الله عنده اجر عظيم,خلدين فيها ابدا ان الله عنده اجر عظيم
9,23,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ لَا تَتَّخِذُوٓاْ ءَابَآءَكُمۡ وَإِخۡوَٰنَكُمۡ أَوۡلِيَآءَ إِنِ ٱسۡتَحَبُّواْ ٱلۡكُفۡرَ عَلَى ٱلۡإِيمَٰنِۚ وَمَن يَتَوَلَّهُم مِّنكُمۡ فَأُوْلَـٰٓئِكَ هُمُ ٱلظَّـٰلِمُونَ,يايها الذين ءامنوا لا تتخذوا ءاباءكم واخونكم اولياء ان استحبوا الكفر علي الايمن ومن يتولهم منكم فاوليك هم الظلمون,يايها الذين ءامنوا لا تتخذوا ءاباءكم واخونكم اولياء ان استحبوا الكفر علي الايمن ومن يتولهم منكم فاوليك هم الظلمون,يايها الذين ءامنوا لا تتخذوا ءاباءكم واخونكم اولياء ان استحبوا الكفر علي الايمن ومن يتولهم منكم فاوليك هم الظلمون
